"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"DE","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.938","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"FL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.842","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.037","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GU","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"HI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.606","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.953","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ID","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.605","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.882","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.793","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.863","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.880","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"LA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.898","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.942","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MD","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.034","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ME","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.479","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.862","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.041","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MO","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.961","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MP","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.830","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.003","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.942","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ND","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.006","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NE","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.019","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NH","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.367","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NJ","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.869","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NM","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.246","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NV","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.839","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.066","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OH","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.774","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OK","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.009","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.936","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.961","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.747","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"RI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.046","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.983","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SD","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.896","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.852","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TX","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.840","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"UT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.326","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.986","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","3.468","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.672","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.062","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.077","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WV","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.736","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.630","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AK","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","2.258","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.882","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.207","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AZ","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.814","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.141","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CO","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.021","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.097","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.301","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DE","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.217","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"FL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.887","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.113","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GU","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","5.662","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"HI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.811","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.109","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ID","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.798","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.948","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.879","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.007","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.978","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"LA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.987","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.026","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MD","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.142","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ME","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.807","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.928","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.161","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MO","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.052","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MP","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.949","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.386","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.015","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ND","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.280","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NE","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.232","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NH","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.645","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NJ","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.951","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NM","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.465","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NV","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.964","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.117","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OH","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.830","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OK","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.124","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.081","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.018","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.936","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"RI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.325","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.092","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SD","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.218","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.926","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TX","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.885","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"UT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.538","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.078","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","5.896","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.001","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.172","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.194","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WV","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.856","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.123","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AK","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","1.114","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.727","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AR","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.947","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AS","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AZ","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.647","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","1.053","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CO","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.795","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CT","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.845","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DC","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.920","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DE","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.710","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"FL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.799","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.965","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GU","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.529","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"HI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.442","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.815","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ID","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.450","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.820","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IN","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.713","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KS","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.735","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KY","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.789","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"LA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.814","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.863","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MD","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.934","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ME","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","1.198","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.798","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MN","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.930","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MO","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.877","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MP","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MS","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.722","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MT","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.706","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NC","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.872","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ND","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.778","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NE","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.835","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NH","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","1.126","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NJ","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.793","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NM","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","1.052","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NV","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.727","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"NY","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","1.016","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OH","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.721","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OK","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.902","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"OR","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.806","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.906","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"PR","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.589","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"RI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.814","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SC","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.882","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"SD","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.643","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TN","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.783","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"TX","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.797","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"UT","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","1.137","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.901","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","1.879","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"VT","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.432","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.960","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.968","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WV","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.628","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"WY","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","0.320","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AK","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.340","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.652","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AR","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.857","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AS","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AZ","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.128","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.945","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CO","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.985","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CT","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.144","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DC","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.193","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DE","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.039","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"FL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.765","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.032","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GU","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"HI","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.905","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.065","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ID","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.945","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.909","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IN","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.016","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KS","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.266","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
