"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"NJ","Death rate for stroke patients","MORT_30_STK","0","57","4","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NM","Death rate for stroke patients","MORT_30_STK","2","18","0","19","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NV","Death rate for stroke patients","MORT_30_STK","2","16","0","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NY","Death rate for stroke patients","MORT_30_STK","5","110","10","40","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OH","Death rate for stroke patients","MORT_30_STK","0","106","2","44","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OK","Death rate for stroke patients","MORT_30_STK","0","42","0","60","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OR","Death rate for stroke patients","MORT_30_STK","1","40","0","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PA","Death rate for stroke patients","MORT_30_STK","1","116","3","36","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PR","Death rate for stroke patients","MORT_30_STK","0","9","0","37","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"RI","Death rate for stroke patients","MORT_30_STK","0","9","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SC","Death rate for stroke patients","MORT_30_STK","2","43","0","17","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SD","Death rate for stroke patients","MORT_30_STK","0","11","0","37","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TN","Death rate for stroke patients","MORT_30_STK","5","60","1","42","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TX","Death rate for stroke patients","MORT_30_STK","5","177","1","144","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"UT","Death rate for stroke patients","MORT_30_STK","3","13","0","25","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VA","Death rate for stroke patients","MORT_30_STK","1","68","1","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VI","Death rate for stroke patients","MORT_30_STK","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VT","Death rate for stroke patients","MORT_30_STK","1","11","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WA","Death rate for stroke patients","MORT_30_STK","4","53","0","28","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WI","Death rate for stroke patients","MORT_30_STK","1","73","0","43","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WV","Death rate for stroke patients","MORT_30_STK","1","22","0","24","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WY","Death rate for stroke patients","MORT_30_STK","0","9","0","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Death rate for CABG","MORT_30_CABG","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AL","Death rate for CABG","MORT_30_CABG","1","20","1","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AR","Death rate for CABG","MORT_30_CABG","2","15","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AS","Death rate for CABG","MORT_30_CABG","0","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AZ","Death rate for CABG","MORT_30_CABG","0","26","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CA","Death rate for CABG","MORT_30_CABG","0","96","0","32","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CO","Death rate for CABG","MORT_30_CABG","0","15","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CT","Death rate for CABG","MORT_30_CABG","0","10","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DC","Death rate for CABG","MORT_30_CABG","0","1","1","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DE","Death rate for CABG","MORT_30_CABG","0","3","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"FL","Death rate for CABG","MORT_30_CABG","0","70","2","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GA","Death rate for CABG","MORT_30_CABG","1","17","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GU","Death rate for CABG","MORT_30_CABG","0","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"HI","Death rate for CABG","MORT_30_CABG","0","3","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IA","Death rate for CABG","MORT_30_CABG","0","10","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ID","Death rate for CABG","MORT_30_CABG","0","5","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IL","Death rate for CABG","MORT_30_CABG","0","50","2","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IN","Death rate for CABG","MORT_30_CABG","1","32","0","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KS","Death rate for CABG","MORT_30_CABG","0","14","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KY","Death rate for CABG","MORT_30_CABG","1","15","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"LA","Death rate for CABG","MORT_30_CABG","2","22","1","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MA","Death rate for CABG","MORT_30_CABG","0","14","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MD","Death rate for CABG","MORT_30_CABG","0","10","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ME","Death rate for CABG","MORT_30_CABG","0","3","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MI","Death rate for CABG","MORT_30_CABG","0","34","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MN","Death rate for CABG","MORT_30_CABG","0","13","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MO","Death rate for CABG","MORT_30_CABG","1","30","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MP","Death rate for CABG","MORT_30_CABG","0","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MS","Death rate for CABG","MORT_30_CABG","2","15","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MT","Death rate for CABG","MORT_30_CABG","0","5","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NC","Death rate for CABG","MORT_30_CABG","0","22","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ND","Death rate for CABG","MORT_30_CABG","0","6","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NE","Death rate for CABG","MORT_30_CABG","0","8","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NH","Death rate for CABG","MORT_30_CABG","0","4","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NJ","Death rate for CABG","MORT_30_CABG","0","15","2","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NM","Death rate for CABG","MORT_30_CABG","0","5","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NV","Death rate for CABG","MORT_30_CABG","0","12","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NY","Death rate for CABG","MORT_30_CABG","0","32","1","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OH","Death rate for CABG","MORT_30_CABG","0","47","2","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OK","Death rate for CABG","MORT_30_CABG","2","14","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OR","Death rate for CABG","MORT_30_CABG","0","12","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PA","Death rate for CABG","MORT_30_CABG","0","56","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PR","Death rate for CABG","MORT_30_CABG","0","2","0","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"RI","Death rate for CABG","MORT_30_CABG","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SC","Death rate for CABG","MORT_30_CABG","1","15","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SD","Death rate for CABG","MORT_30_CABG","0","2","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TN","Death rate for CABG","MORT_30_CABG","1","20","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TX","Death rate for CABG","MORT_30_CABG","2","106","1","21","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"UT","Death rate for CABG","MORT_30_CABG","0","8","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VA","Death rate for CABG","MORT_30_CABG","0","18","2","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VI","Death rate for CABG","MORT_30_CABG","0","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VT","Death rate for CABG","MORT_30_CABG","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WA","Death rate for CABG","MORT_30_CABG","0","16","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WI","Death rate for CABG","MORT_30_CABG","0","25","1","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WV","Death rate for CABG","MORT_30_CABG","1","5","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WY","Death rate for CABG","MORT_30_CABG","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","1","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","39","2","6","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","28","2","9","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AZ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","50","0","3","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"CA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","202","7","82","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"CO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","48","3","7","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"CT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","21","1","1","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"DC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","5","0","2","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"DE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","3","2","1","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"FL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","140","5","20","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"GA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","72","3","14","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"GU","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","1","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"HI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","7","0","5","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"IA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","50","0","24","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"ID","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","23","0","7","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"IL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","112","0","27","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"IN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","81","2","23","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"KS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","42","2","9","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"KY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","43","0","14","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"LA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","54","0","20","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"MA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","53","1","3","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"MD","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","38","1","5","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"ME","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","27","0","5","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"MI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","95","3","17","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"MN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","59","1","24","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"MO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","65","1","11","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"MP","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"MS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","24","0","9","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"MT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","22","0","4","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"NC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","75","4","9","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"ND","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","9","0","0","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"NE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","43","0","9","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"NH","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","22","0","2","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"NJ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","49","2","11","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"NM","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","20","0","5","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"NV","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","21","0","3","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"NY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","104","3","38","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"OH","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","132","5","16","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"OK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","49","1","10","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"OR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","39","1","8","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"PA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","126","2","21","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"PR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","7","0","25","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"RI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","10","0","0","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"SC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","40","1","11","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"SD","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","17","0","3","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"TN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","51","1","19","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"TX","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","201","5","55","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"UT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","31","0","4","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"VA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","55","2","9","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"VI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","1","0","1","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"VT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","12","0","0","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"WA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","53","2","7","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"WI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","84","1","18","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"WV","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","22","0","11","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"WY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","15","0","5","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AK","Serious complications","PSI_90_SAFETY","0","9","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"AL","Serious complications","PSI_90_SAFETY","1","82","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"AR","Serious complications","PSI_90_SAFETY","3","41","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"AS","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"AZ","Serious complications","PSI_90_SAFETY","1","62","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"CA","Serious complications","PSI_90_SAFETY","8","289","3","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"CO","Serious complications","PSI_90_SAFETY","3","42","2","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"CT","Serious complications","PSI_90_SAFETY","4","27","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"DC","Serious complications","PSI_90_SAFETY","0","7","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"DE","Serious complications","PSI_90_SAFETY","0","5","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"FL","Serious complications","PSI_90_SAFETY","14","151","6","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"GA","Serious complications","PSI_90_SAFETY","4","99","2","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"GU","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"HI","Serious complications","PSI_90_SAFETY","0","12","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"IA","Serious complications","PSI_90_SAFETY","3","30","2","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"ID","Serious complications","PSI_90_SAFETY","0","14","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"IL","Serious complications","PSI_90_SAFETY","5","119","2","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"IN","Serious complications","PSI_90_SAFETY","2","88","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"KS","Serious complications","PSI_90_SAFETY","1","51","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"KY","Serious complications","PSI_90_SAFETY","5","60","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"LA","Serious complications","PSI_90_SAFETY","4","90","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"MA","Serious complications","PSI_90_SAFETY","0","56","3","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"MD","Serious complications","PSI_90_SAFETY","2","42","3","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"ME","Serious complications","PSI_90_SAFETY","0","17","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"MI","Serious complications","PSI_90_SAFETY","11","84","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"MN","Serious complications","PSI_90_SAFETY","1","47","2","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"MO","Serious complications","PSI_90_SAFETY","1","73","2","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"MP","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"MS","Serious complications","PSI_90_SAFETY","3","60","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"MT","Serious complications","PSI_90_SAFETY","0","12","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"NC","Serious complications","PSI_90_SAFETY","1","80","5","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"ND","Serious complications","PSI_90_SAFETY","0","8","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"NE","Serious complications","PSI_90_SAFETY","3","24","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"NH","Serious complications","PSI_90_SAFETY","0","13","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"NJ","Serious complications","PSI_90_SAFETY","2","62","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"NM","Serious complications","PSI_90_SAFETY","1","31","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"NV","Serious complications","PSI_90_SAFETY","5","17","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"NY","Serious complications","PSI_90_SAFETY","13","140","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"OH","Serious complications","PSI_90_SAFETY","3","125","4","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"OK","Serious complications","PSI_90_SAFETY","2","85","3","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"OR","Serious complications","PSI_90_SAFETY","0","32","2","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"PA","Serious complications","PSI_90_SAFETY","3","146","3","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"PR","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"RI","Serious complications","PSI_90_SAFETY","1","10","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"SC","Serious complications","PSI_90_SAFETY","2","51","4","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"SD","Serious complications","PSI_90_SAFETY","0","22","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"TN","Serious complications","PSI_90_SAFETY","4","88","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"TX","Serious complications","PSI_90_SAFETY","6","316","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"UT","Serious complications","PSI_90_SAFETY","0","33","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"VA","Serious complications","PSI_90_SAFETY","2","72","2","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"VI","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"VT","Serious complications","PSI_90_SAFETY","0","6","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"WA","Serious complications","PSI_90_SAFETY","2","41","5","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"WI","Serious complications","PSI_90_SAFETY","2","62","1","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"WV","Serious complications","PSI_90_SAFETY","0","29","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"WY","Serious complications","PSI_90_SAFETY","0","10","0","Not Available","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"AK","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","9","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"AL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","83","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"AR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","45","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"AS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
"AZ","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","61","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","09/30/2015"
