"Provider ID","Hospital Name","Address","City","State","Zip","County Name","Phone Number","Measure ID","HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent","Number of Completed Surveys","Survey Response Rate Percent","Footnote","Measure Start Date","Measure End Date"
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,07018,ESSEX,9736761000,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",59,356,31,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,07018,ESSEX,9736761000,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",59,356,31,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,07018,ESSEX,9736761000,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",59,356,31,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,07018,ESSEX,9736761000,H_COMP_6_Y_P,Patients who reported that YES they were given information about what to do during their recovery at home,"Yes staff ""did"" give patients this information",87,356,31,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,07018,ESSEX,9736761000,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Patients who “Strongly Agree” they understood their care when they left the hospital,51,356,31,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,07018,ESSEX,9736761000,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",59,356,31,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,07018,ESSEX,9736761000,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",58,356,31,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,07018,ESSEX,9736761000,H_RECMND_DY,Patients who reported YES they would definitely recommend the hospital,"""YES"" patients would definitely recommend the hospital",63,356,31,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",73,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",77,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",87,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",65,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",61,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",64,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_COMP_6_Y_P,Patients who reported that YES they were given information about what to do during their recovery at home,"Yes staff ""did"" give patients this information",86,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Patients who “Strongly Agree” they understood their care when they left the hospital,62,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",68,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",67,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,9147374400,H_RECMND_DY,Patients who reported YES they would definitely recommend the hospital,"""YES"" patients would definitely recommend the hospital",74,94,30,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",74,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",73,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",77,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",65,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",62,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",64,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_COMP_6_Y_P,Patients who reported that YES they were given information about what to do during their recovery at home,"Yes staff ""did"" give patients this information",83,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Patients who “Strongly Agree” they understood their care when they left the hospital,53,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",60,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",56,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,2126867500,H_RECMND_DY,Patients who reported YES they would definitely recommend the hospital,"""YES"" patients would definitely recommend the hospital",57,329,38,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",76,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",77,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",79,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",66,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",61,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",63,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_COMP_6_Y_P,Patients who reported that YES they were given information about what to do during their recovery at home,"Yes staff ""did"" give patients this information",88,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Patients who “Strongly Agree” they understood their care when they left the hospital,50,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",66,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",54,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,5162614400,H_RECMND_DY,Patients who reported YES they would definitely recommend the hospital,"""YES"" patients would definitely recommend the hospital",66,280,35,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",71,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",78,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",75,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",70,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",62,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",67,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_COMP_6_Y_P,Patients who reported that YES they were given information about what to do during their recovery at home,"Yes staff ""did"" give patients this information",89,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Patients who “Strongly Agree” they understood their care when they left the hospital,58,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",72,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",53,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,3154254400,H_RECMND_DY,Patients who reported YES they would definitely recommend the hospital,"""YES"" patients would definitely recommend the hospital",72,334,46,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",75,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",83,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",82,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",68,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",64,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",74,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_COMP_6_Y_P,Patients who reported that YES they were given information about what to do during their recovery at home,"Yes staff ""did"" give patients this information",94,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Patients who “Strongly Agree” they understood their care when they left the hospital,62,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",73,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",60,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,H_RECMND_DY,Patients who reported YES they would definitely recommend the hospital,"""YES"" patients would definitely recommend the hospital",74,285,36,21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
39001F,JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA),2907 PLEASANT VALLEY BOULEVARD,ALTOONA,PA,16602,BLAIR,8149438164,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",90,75,52,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
39001F,JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA),2907 PLEASANT VALLEY BOULEVARD,ALTOONA,PA,16602,BLAIR,8149438164,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",88,75,52,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
39001F,JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA),2907 PLEASANT VALLEY BOULEVARD,ALTOONA,PA,16602,BLAIR,8149438164,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",87,75,52,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
39001F,JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA),2907 PLEASANT VALLEY BOULEVARD,ALTOONA,PA,16602,BLAIR,8149438164,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",84,75,52,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
39001F,JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA),2907 PLEASANT VALLEY BOULEVARD,ALTOONA,PA,16602,BLAIR,8149438164,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",64,75,52,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
39001F,JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA),2907 PLEASANT VALLEY BOULEVARD,ALTOONA,PA,16602,BLAIR,8149438164,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",68,75,52,6-Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution as the number of surveys may be too low to reliably assess hospital performance. 21-Patient survey results for VHA hospitals do not represent official HCAHPS results and are not included in state and national averages.,01/01/2016,12/31/2016
