Provider_ID,Hospital Name,Address,City,State,ZIP Code,County,Measure Name,Measure ID,VHA National Rate,Compare to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnotes,Measure Start Date,Measure End Date
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,263,8.08,6.12,10.86,,10/1/2012,9/30/2015
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,192,7.68,5.77,10.08,,10/1/2012,9/30/2015
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,54,15.73,12.84,19.02,,10/1/2012,9/30/2015
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,177,13.3,9.95,17.17,,10/1/2012,9/30/2015
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,298,19.69,16.75,23.02,,10/1/2012,9/30/2015
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,195,14.42,11.76,17.47,,10/1/2012,9/30/2015
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,131,5.57,3.43,8.69,,10/1/2012,9/30/2015
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,104,6.74,4.62,10.2,,10/1/2012,9/30/2015
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,106,9.36,6.8,12.51,,10/1/2012,9/30/2015
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,131,13.75,10.25,17.82,,10/1/2012,9/30/2015
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,111,18.91,15.54,22.59,,10/1/2012,9/30/2015
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,98,14.77,12.15,18.15,,10/1/2012,9/30/2015
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,87,8.15,5.6,10.99,,10/1/2012,9/30/2015
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,150,8.05,4.96,12.74,,10/1/2012,9/30/2015
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,218,9,6.58,12.07,,10/1/2012,9/30/2015
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,269,8.46,6.38,10.79,,10/1/2012,9/30/2015
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,50,16.01,13.32,19.45,,10/1/2012,9/30/2015
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,164,15.58,12.08,20.24,,10/1/2012,9/30/2015
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,256,21.8,18.47,25.69,,10/1/2012,9/30/2015
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,279,14.14,12.07,17.01,,10/1/2012,9/30/2015
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,109,8.02,5.62,10.81,,10/1/2012,9/30/2015
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,330,4.5,3.03,6.47,,10/1/2012,9/30/2015
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,Better than the VHA National Rate,540,5.38,4.11,7.22,,10/1/2012,9/30/2015
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,217,7.5,5.65,9.91,,10/1/2012,9/30/2015
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,107,15.98,13.38,19.31,,10/1/2012,9/30/2015
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,361,13.49,10.82,16.52,,10/1/2012,9/30/2015
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,631,19.05,16.63,21.74,,10/1/2012,9/30/2015
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,207,15.43,12.61,18.17,,10/1/2012,9/30/2015
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,70,5.27,3.17,9.1,,10/1/2012,9/30/2015
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,76,8.86,5.95,12.71,,10/1/2012,9/30/2015
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,112,8.61,6.11,11.9,,10/1/2012,9/30/2015
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,73,14.6,10.91,19.38,,10/1/2012,9/30/2015
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,77,19.92,16.28,24.27,,10/1/2012,9/30/2015
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,104,13.96,11.06,16.97,,10/1/2012,9/30/2015
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,123,9.18,6.83,12.16,,10/1/2012,9/30/2015
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,350,5.23,3.64,7.18,,10/1/2012,9/30/2015
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,515,8.1,6.32,10.36,,10/1/2012,9/30/2015
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,382,8.75,6.99,10.94,,10/1/2012,9/30/2015
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,116,15.96,13.56,19.14,,10/1/2012,9/30/2015
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,Worse than the VHA National Rate,414,20.56,17.38,24.21,,10/1/2012,9/30/2015
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,Worse than the VHA National Rate,589,22.14,19.54,25,,10/1/2012,9/30/2015
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,Worse than the VHA National Rate,393,18.13,15.52,21.83,,10/1/2012,9/30/2015
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,260,6.07,4.18,8.96,,10/1/2012,9/30/2015
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,194,7.35,5.4,10.47,,10/1/2012,9/30/2015
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,223,8.9,6.84,11.66,,10/1/2012,9/30/2015
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,292,18.07,14.59,21.73,,10/1/2012,9/30/2015
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,206,19.63,16.55,23.25,,10/1/2012,9/30/2015
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,212,14.18,11.69,17.07,,10/1/2012,9/30/2015
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,37,8.46,6.02,11.26,,10/1/2012,9/30/2015
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,124,4.42,2.84,6.7,,10/1/2012,9/30/2015
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,118,7.92,5.48,11.26,,10/1/2012,9/30/2015
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,156,7.65,5.62,10.27,,10/1/2012,9/30/2015
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,141,18.25,14.58,22.98,,10/1/2012,9/30/2015
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,134,19.92,16.7,23.91,,10/1/2012,9/30/2015
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,165,14.47,12.04,17.42,,10/1/2012,9/30/2015
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,111,Not Available,Not Available,Not Available,,10/1/2012,9/30/2015
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,93,6.59,4.25,10.06,,10/1/2012,9/30/2015
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,77,8.85,6.34,12.26,,10/1/2012,9/30/2015
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,100,12.35,8.74,16.84,,10/1/2012,9/30/2015
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,83,17.25,13.86,21.21,,10/1/2012,9/30/2015
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,62,13.37,10.54,16.45,,10/1/2012,9/30/2015
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,241,9.14,7.18,11.93,,10/1/2012,9/30/2015
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,405,6.67,4.55,9.14,,10/1/2012,9/30/2015
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,Worse than the VHA National Rate,420,10.36,8.01,13.03,,10/1/2012,9/30/2015
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,276,7.88,5.97,10.02,,10/1/2012,9/30/2015
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,268,17.59,14.85,21.45,,10/1/2012,9/30/2015
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,493,14.19,11.57,17.54,,10/1/2012,9/30/2015
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,530,20.54,17.77,23.73,,10/1/2012,9/30/2015
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,311,15.45,12.94,18.1,,10/1/2012,9/30/2015
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,31,8.66,5.98,11.97,,10/1/2012,9/30/2015
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,152,7.38,5.07,10.13,,10/1/2012,9/30/2015
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,148,7.14,5.2,9.81,,10/1/2012,9/30/2015
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,151,7.82,5.87,10.27,,10/1/2012,9/30/2015
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,152,14.65,11.21,18.69,,10/1/2012,9/30/2015
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,159,17.35,14.16,20.81,,10/1/2012,9/30/2015
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,148,13.78,11.53,16.82,,10/1/2012,9/30/2015
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,72,9.54,7.01,13.11,,10/1/2012,9/30/2015
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,156,6.97,4.7,10.03,,10/1/2012,9/30/2015
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,224,7.56,5.42,10.16,,10/1/2012,9/30/2015
