Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,89,272,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,3042552121,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,358,415,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,130,368,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,86,607,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,9192860411,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,83,285,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,9104882120,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,334,218,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,209,217,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,63,279,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CIT,7577229961,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,229,424,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,60,424,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,86,413,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,8282987911,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,311,583,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,196,583,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,78,594,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CI,8046755000,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM,5409822463,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,270,405,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM,5409822463,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,171,392,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM,5409822463,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,78,386,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM,5409822463,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM,5409822463,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM,5409822463,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM,5409822463,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM,5409822463,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM,5409822463,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
